common_name,scientific_name,description
Red Junglefowl,Gallus gallus,"The Red Junglefowl is the wild ancestor of the domestic chicken. It has a striking appearance with vibrant plumage, including a mix of reds, oranges, and greens. This bird is found in forests and jungles across South and Southeast Asia. It is known for its loud crowing and social behavior."
Large-tailed Nightjar,Caprimulgus macrurus,"The Large-tailed Nightjar is a nocturnal bird with a distinctive, cryptic plumage that blends into its surroundings. It is known for its long tail and large eyes, which are adapted for night vision. This bird is found in open woodlands, grasslands, and scrublands across South and Southeast Asia."
Savanna Nightjar,Caprimulgus affinis,The Savanna Nightjar is a nocturnal bird with mottled brown plumage that provides excellent camouflage. It is known for its silent flight and preference for open habitats such as savannas and grasslands. This bird is widespread across South and Southeast Asia.
Black-nest Swiftlet,Aerodramus maximus,"The Black-nest Swiftlet is a small bird known for its ability to navigate in the dark using echolocation. It builds its nest using saliva, which is then harvested to make bird's nest soup. This swiftlet is found in coastal regions and caves across Southeast Asia."
Asian Koel,Eudynamys scolopaceus,"The Asian Koel is a large, cuckoo species with a distinctive red eye and glossy black plumage in males, while females are brown with white spots. It is known for its loud, repetitive calls and brood parasitism, laying its eggs in the nests of other birds. This species is found in forests and urban areas across South and Southeast Asia."
Asian Emerald Cuckoo,Chrysococcyx maculatus,"The Asian Emerald Cuckoo is a small, brightly colored bird with iridescent green plumage and a distinctive white belly. It is known for its melodious calls and brood parasitism, laying its eggs in the nests of other birds. This species is found in forests and woodlands across Southeast Asia."
Horsfield's Bronze Cuckoo,Chrysococcyx basalis,"Horsfield's Bronze Cuckoo is a small bird with metallic green upperparts and a white belly. It is known for its distinctive call and brood parasitism, laying its eggs in the nests of other birds. This species is found in open woodlands and grasslands across Australia and Southeast Asia."
Banded Bay Cuckoo,Cacomantis sonneratii,"The Banded Bay Cuckoo is a small bird with a brownish-gray upper body and distinctive dark bands across its chest. It is known for its melodious, repetitive calls and brood parasitism, laying its eggs in the nests of other birds. This species is found in forests and woodlands across South and Southeast Asia."
Plaintive Cuckoo,Cacomantis merulinus,"The Plaintive Cuckoo is a small bird with a distinctive gray upper body and reddish-brown underparts. It is known for its plaintive, whistling calls and brood parasitism, laying its eggs in the nests of other birds. This species is found in forests, gardens, and wetlands across South and Southeast Asia."
Rusty-breasted Cuckoo,Cacomantis sepulcralis,"The Rusty-breasted Cuckoo is a small bird with a rusty-brown chest and a gray upper body. It is known for its distinctive, repetitive calls and brood parasitism, laying its eggs in the nests of other birds. This species is found in forests and woodlands across Southeast Asia."
Cinnamon-headed Green Pigeon,Treron fulvicollis,The Cinnamon-headed Green Pigeon is a medium-sized bird with a distinctive cinnamon-colored head and green body. It is known for its preference for feeding on fruits and its gentle cooing calls. This species is found in forests and woodlands across Southeast Asia.
Pink-necked Green Pigeon,Treron vernans,"The Pink-necked Green Pigeon is a medium-sized bird with a distinctive pink neck and green body. It is known for its preference for feeding on fruits and its soft, cooing calls. This species is found in forests, gardens, and urban areas across Southeast Asia."
Slaty-breasted Rail,Lewinia striata,The Slaty-breasted Rail is a medium-sized bird with a gray chest and a distinctive barred pattern on its sides. It is known for its secretive behavior and preference for wetlands and marshes. This species is found in wetlands and marshes across South and Southeast Asia.
Common Moorhen,Gallinula chloropus,"The Common Moorhen is a medium-sized waterbird with a distinctive red and yellow beak and a black body with white undertail. It is known for its loud calls and preference for wetlands and marshes. This species is found in wetlands, lakes, and rivers across the world."
Ruddy-breasted Crake,Zapornia fusca,The Ruddy-breasted Crake is a small bird with a reddish-brown chest and a gray face. It is known for its secretive behavior and preference for wetlands and marshes. This species is found in wetlands and marshes across South and Southeast Asia.
Red-legged Crake,Rallina fasciata,The Red-legged Crake is a medium-sized bird with bright red legs and a reddish-brown body. It is known for its secretive behavior and preference for wetlands and marshes. This species is found in wetlands and marshes across Southeast Asia.
White-breasted Waterhen,Amaurornis phoenicurus,"The White-breasted Waterhen is a medium-sized bird with a distinctive white face and breast and a black body. It is known for its loud calls and preference for wetlands and marshes. This species is found in wetlands, marshes, and rice fields across South and Southeast Asia."
Pacific Golden Plover,Pluvialis fulva,"The Pacific Golden Plover is a medium-sized shorebird with a distinctive golden-brown plumage. It is known for its long migratory journeys and preference for coastal habitats. This species is found in coastal areas, mudflats, and wetlands across the Pacific region."
Ruddy Turnstone,Arenaria interpres,"The Ruddy Turnstone is a small shorebird with a distinctive black and white pattern on its face and chest. It is known for its habit of flipping over stones and debris to find food. This species is found in coastal areas, mudflats, and wetlands across the world."
Grey Heron,Ardea cinerea,"The Grey Heron is a large wading bird with a distinctive gray body and a long, pointed beak. It is known for its patience while hunting for fish and other aquatic prey. This species is found in wetlands, rivers, and lakes across Europe, Asia, and Africa."
Purple Heron,Ardea purpurea,"The Purple Heron is a large wading bird with a distinctive purplish-brown body and a long, pointed beak. It is known for its stealth and patience while hunting for fish and other aquatic prey. This species is found in wetlands, rivers, and lakes across Europe, Asia, and Africa."
Great Egret,Ardea alba,"The Great Egret is a large wading bird with a distinctive white body and a long, pointed beak. It is known for its elegance and patience while hunting for fish and other aquatic prey. This species is found in wetlands, rivers, and lakes across the world."
Black-winged Kite,Elanus caeruleus,"The Black-winged Kite is a small raptor known for its striking appearance, characterized by a white head, underparts, and tail, along with black patches on the shoulders and wingtips. It is a proficient hunter, often seen hovering in the air before swooping down to catch prey. This bird primarily feeds on rodents, making it beneficial for controlling pest populations. It inhabits open grasslands, savannas, and agricultural areas across Africa and Asia."
Crested Honey Buzzard,Pernis ptilorhynchus,"The Crested Honey Buzzard is a large bird of prey distinguished by its unique crest and mottled plumage. Unlike other raptors, it primarily feeds on bees and wasps, raiding their nests to consume larvae and honeycombs. It has a special adaptation to protect its face from stings while feeding. This species is found in forests and wooded areas throughout Asia."
Changeable Hawk-Eagle,Nisaetus cirrhatus,"The Changeable Hawk-Eagle, also known as the Crested Hawk-Eagle, is a medium-sized raptor with a distinctive crest and varied plumage that can range from dark brown to pale. It preys on birds, small mammals, and reptiles, often hunting from a perch or soaring high in the sky. Known for its agility and strength, it is a formidable predator in its habitat. This eagle is widespread in forests and open woodlands across South and Southeast Asia."
Western Barn Owl,Tyto alba,"The Western Barn Owl is a nocturnal bird recognized by its heart-shaped face and white plumage with speckled wings. It has exceptional hearing, which allows it to locate prey in complete darkness. Barn Owls primarily feed on small mammals, such as mice and voles, contributing to natural pest control. They are found in a variety of habitats, including farmlands, grasslands, and urban areas across the world."
Brown Hawk-Owl,Ninox scutulata,"The Brown Hawk-Owl, also known as the Brown Boobook, is a medium-sized owl with a brownish plumage and distinctive yellow eyes. It is primarily nocturnal, hunting insects, small mammals, and birds at night. This owl is known for its powerful flight and agility in dense forests. It is commonly found in wooded areas and plantations across South and Southeast Asia."
Sunda Scops Owl,Otus lempiji,"The Sunda Scops Owl is a small owl with a characteristic ear-tufted appearance and mottled brown plumage. It has a melodious call that is often heard at night in its forest habitat. This owl feeds on insects and small vertebrates, using its excellent night vision and hearing to hunt. It is native to the forests of Southeast Asia, including the Malay Peninsula, Borneo, and Sumatra."
Spotted Wood Owl,Strix seloputo,"The Spotted Wood Owl is a large, nocturnal bird with a striking pattern of white spots on its brown plumage. It is known for its deep, resonant hooting calls that can be heard at night. This owl preys on small mammals, birds, and insects, often hunting from a perch. It inhabits lowland forests, mangroves, and plantations in Southeast Asia."
Oriental Pied Hornbill,Anthracoceros albirostris,"The Oriental Pied Hornbill is a medium-sized hornbill with black and white plumage and a large, curved bill with a casque on top. It is a frugivorous bird, primarily feeding on fruits but also consuming small animals. This hornbill plays a crucial role in seed dispersal, helping to maintain the forest ecosystem. It is commonly found in forests, woodlands, and urban areas in South and Southeast Asia."
Stork-billed Kingfisher,Pelargopsis capensis,"The Stork-billed Kingfisher is a large and colorful kingfisher with a prominent red bill, blue wings, and a yellowish-brown body. It is known for its loud, distinctive calls and aggressive hunting behavior. This bird feeds on fish, frogs, and crustaceans, diving into water to catch its prey. It inhabits rivers, lakes, and coastal regions across South and Southeast Asia."
Collared Kingfisher,Todiramphus chloris,"The Collared Kingfisher is a medium-sized bird with bright blue and white plumage, often found near coastal areas and mangroves. It has a distinctive white collar around its neck, which gives it its name. This kingfisher feeds on a variety of prey, including fish, crustaceans, and insects. It is widely distributed across Southeast Asia, Australia, and the Pacific Islands."
Blue-throated Bee-eater,Merops viridis,"The Blue-throated Bee-eater is a slender, brightly colored bird with a green body, blue throat, and rufous crown. It is known for its acrobatic flight and agility in catching insects, particularly bees and wasps, in mid-air. This bee-eater often nests in colonies, digging burrows in sandy banks or flat ground. It is commonly found in open woodlands, grasslands, and near water bodies in Southeast Asia."
Red-crowned Barbet,Psilopogon rafflesii,"The Red-crowned Barbet is a striking bird with a vivid red crown, green body, and yellowish underparts. It has a stout bill used for feeding on fruits and insects. This barbet's call is a repetitive, loud 'tuk-tuk-tuk' sound. It inhabits lowland forests and plantations in Southeast Asia, playing a role in seed dispersal."
Common Flameback,Dinopium javanense,"The Common Flameback is a woodpecker with a distinctive golden-yellow back and black-and-white striped face. It is known for its drumming behavior on tree trunks, which it uses to communicate and forage for insects. This woodpecker has a strong bill adapted for pecking wood and extracting insects. It is found in forests, mangroves, and urban areas across South and Southeast Asia."
Great Slaty Woodpecker,Mulleripicus pulverulentus,"The Great Slaty Woodpecker is the largest woodpecker species, with a slate-grey body and a powerful bill. It is known for its loud, drumming calls and strong, rhythmic pecking on trees. This woodpecker primarily feeds on ants and beetles, excavating deep into the wood to find prey. It inhabits lowland and hill forests in Southeast Asia."
Peregrine Falcon,Falco peregrinus,"The Peregrine Falcon is a medium-sized raptor renowned for its incredible speed, making it the fastest bird in the world during its hunting stoop (high-speed dive). It has a blue-grey back, barred underparts, and a black head. This falcon preys on birds, which it captures mid-air with exceptional agility. It is found on every continent except Antarctica, adapting to various habitats, including urban environments."
Tanimbar Corella,Cacatua goffiniana,"The Tanimbar Corella is a small white cockatoo with a distinctive crest and pale pink underparts. It is known for its playful and social behavior, often seen in pairs or small groups. This species feeds on seeds, fruits, and nuts, using its strong beak to crack them open. It is native to the Tanimbar Islands in Indonesia and is often found in forested and wooded areas."
Yellow-crested Cockatoo,Cacatua sulphurea,"The Yellow-crested Cockatoo is a striking bird with a bright yellow crest and white plumage. It has a strong, curved bill and is known for its loud calls and intelligence. This cockatoo feeds on seeds, fruits, and nuts and is often seen in pairs or small flocks. It is native to the islands of Indonesia and is commonly found in forest edges and secondary growth areas."
Blue-rumped Parrot,Psittinus cyanurus,"The Blue-rumped Parrot is a small, colorful parrot with vibrant green plumage and a distinctive blue rump. It is known for its playful and active nature, often seen feeding on fruits and seeds in the treetops. This parrot is native to the forests of Southeast Asia, including parts of Indonesia and Malaysia. It typically inhabits lowland and hill forests."
Long-tailed Parakeet,Psittacula longicauda,"The Long-tailed Parakeet is a striking bird with bright green plumage and an elongated tail. It is known for its vocalizations and lively behavior, often seen in small flocks. This parakeet feeds on seeds, fruits, and flowers, and is commonly found in forest edges and cultivated areas. It is native to the Indian subcontinent and parts of Southeast Asia."
Rose-ringed Parakeet,Psittacula krameri,"The Rose-ringed Parakeet is a medium-sized parrot with bright green plumage and a distinctive rose-colored ring around its neck. It is highly adaptable and can be found in urban areas as well as natural habitats. This parakeet feeds on a variety of seeds, fruits, and nuts. It is native to Africa and South Asia but has also become established in many parts of the world due to the pet trade."
Blue-crowned Hanging Parrot,Loriculus galgulus,"The Blue-crowned Hanging Parrot is a small, colorful parrot with bright green plumage and a striking blue crown. It is known for its unique hanging feeding behavior, where it clings to branches while feeding on fruits and flowers. This parrot is native to the Philippines and is commonly found in lowland forests and forest edges. Its vibrant colors and distinctive calls make it a popular species among bird watchers."
Blue-winged Pitta,Pitta moluccensis,"The Blue-winged Pitta is a striking bird with vivid blue wings, a green back, and a rufous underbelly. It is known for its vibrant coloration and elusive behavior, often hiding in dense undergrowth. This pitta feeds on insects, worms, and small invertebrates, using its strong beak to forage on the forest floor. It is native to the forests of Indonesia and Papua New Guinea."
Mangrove Pitta,Pitta megarhyncha,"The Mangrove Pitta is a colorful bird with bright green, blue, and orange plumage. It is adapted to mangrove forest habitats, where it forages for insects, worms, and other small invertebrates. This pitta is known for its shy and elusive behavior, often staying hidden among the dense mangrove vegetation. It is native to coastal regions of Southeast Asia and northern Australia."
Golden-bellied Gerygone,Gerygone sulphurea,"The Golden-bellied Gerygone is a small, insectivorous bird with a striking yellow belly and a greenish-gray back. It is known for its delicate, high-pitched call and its active foraging behavior in the treetops. This gerygone feeds on insects and spiders, often gleaning them from foliage. It is native to the forests and woodlands of northern Australia and New Guinea."
Common Iora,Aegithina tiphia,"The Common Iora is a small, brightly colored bird with a yellow underbelly, green back, and black wings. It is known for its melodious song and acrobatic feeding behavior, often seen foraging for insects in the foliage. This species is widely distributed across South and Southeast Asia and is commonly found in forest edges and gardens. It plays an important role in controlling insect populations."
